u,x1,x2,x3
-1,0.752,-0.157752,3.93521
-1,0.751,-0.157,3.93505
-1,0.75,-0.15625,3.9349
-1,0.749,-0.1555,3.93474
-1,0.748,-0.154752,3.93458
-1,0.747,-0.154004,3.93443
-1,0.746,-0.153258,3.93428
-1,0.745,-0.152512,3.93412
-1,0.744,-0.151768,3.93397
-1,0.743,-0.151024,3.93382
-1,0.742,-0.150282,3.93367
-1,0.741,-0.14954,3.93352
-1,0.74,-0.1488,3.93337
-1,0.739,-0.14806,3.93322
-1,0.738,-0.147322,3.93307
-1,0.737,-0.146584,3.93293
-1,0.736,-0.145848,3.93278
-1,0.735,-0.145112,3.93264
-1,0.734,-0.144378,3.93249
-1,0.733,-0.143644,3.93235
-1,0.732,-0.142912,3.9322
-1,0.731,-0.14218,3.93206
-1,0.73,-0.14145,3.93192
-1,0.729,-0.14072,3.93178
-1,0.728,-0.139992,3.93164
-1,0.727,-0.139264,3.9315
-1,0.726,-0.138538,3.93136
-1,0.725,-0.137812,3.93122
-1,0.724,-0.137088,3.93108
-1,0.723,-0.136364,3.93095
-1,0.722,-0.135642,3.93081
-1,0.721,-0.13492,3.93068
-1,0.72,-0.1342,3.93054
-1,0.719,-0.13348,3.93041
-1,0.718,-0.132762,3.93027
-1,0.717,-0.132044,3.93014
-1,0.716,-0.131328,3.93001
-1,0.715,-0.130612,3.92988
-1,0.714,-0.129898,3.92975
-1,0.713,-0.129184,3.92962
-1,0.712,-0.128472,3.92949
-1,0.711,-0.12776,3.92936
-1,0.71,-0.12705,3.92924
-1,0.709,-0.12634,3.92911
-1,0.708,-0.125632,3.92898
-1,0.707,-0.124924,3.92886
-1,0.706,-0.124218,3.92873
-1,0.705,-0.123512,3.92861
-1,0.704,-0.122808,3.92849
-1,0.703,-0.122104,3.92836
-1,0.702,-0.121402,3.92824
-1,0.701,-0.1207,3.92812
-1,0.7,-0.12,3.928
-1,0.699,-0.1193,3.92788
-1,0.698,-0.118602,3.92776
-1,0.697,-0.117904,3.92764
-1,0.696,-0.117208,3.92753
-1,0.695,-0.116512,3.92741
-1,0.694,-0.115818,3.92729
-1,0.693,-0.115124,3.92718
-1,0.692,-0.114432,3.92706
-1,0.691,-0.11374,3.92695
-1,0.69,-0.11305,3.92683
-1,0.689,-0.11236,3.92672
-1,0.688,-0.111672,3.92661
-1,0.687,-0.110984,3.9265
-1,0.686,-0.110298,3.92639
-1,0.685,-0.109612,3.92628
-1,0.684,-0.108928,3.92617
-1,0.683,-0.108244,3.92606
-1,0.682,-0.107562,3.92595
-1,0.681,-0.10688,3.92585
-1,0.68,-0.1062,3.92574
-1,0.679,-0.10552,3.92563
-1,0.678,-0.104842,3.92553
-1,0.677,-0.104164,3.92542
-1,0.676,-0.103488,3.92532
-1,0.675,-0.102812,3.92522
-1,0.674,-0.102138,3.92511
-1,0.673,-0.101464,3.92501
-1,0.672,-0.100792,3.92491
-1,0.671,-0.10012,3.92481
-1,0.67,-0.09945,3.92471
-1,0.669,-0.0987805,3.92461
-1,0.668,-0.098112,3.92451
-1,0.667,-0.0974445,3.92442
-1,0.666,-0.096778,3.92432
-1,0.665,-0.0961125,3.92422
-1,0.664,-0.095448,3.92413
-1,0.663,-0.0947845,3.92403
-1,0.662,-0.094122,3.92394
-1,0.661,-0.0934605,3.92384
-1,0.66,-0.0928,3.92375
-1,0.659,-0.0921405,3.92366
-1,0.658,-0.091482,3.92357
-1,0.657,-0.0908245,3.92347
-1,0.656,-0.090168,3.92338
-1,0.655,-0.0895125,3.92329
-1,0.654,-0.088858,3.9232
-1,0.653,-0.0882045,3.92312
-1,0.652,-0.087552,3.92303
-1,0.651,-0.0869005,3.92294
-1,0.65,-0.08625,3.92285
-1,0.649,-0.0856005,3.92277
-1,0.648,-0.084952,3.92268
-1,0.647,-0.0843045,3.9226
-1,0.646,-0.083658,3.92251
-1,0.645,-0.0830125,3.92243
-1,0.644,-0.082368,3.92235
-1,0.643,-0.0817245,3.92227
-1,0.642,-0.081082,3.92218
-1,0.641,-0.0804405,3.9221
-1,0.64,-0.0798,3.92202
-1,0.639,-0.0791605,3.92194
-1,0.638,-0.078522,3.92187
-1,0.637,-0.0778845,3.92179
-1,0.636,-0.077248,3.92171
-1,0.635,-0.0766125,3.92163
-1,0.634,-0.075978,3.92156
-1,0.633,-0.0753445,3.92148
-1,0.632,-0.074712,3.92141
-1,0.631,-0.0740805,3.92133
-1,0.63,-0.07345,3.92126
-1,0.629,-0.0728205,3.92118
-1,0.628,-0.072192,3.92111
-1,0.627,-0.0715645,3.92104
-1,0.626,-0.070938,3.92097
-1,0.625,-0.0703125,3.9209
-1,0.624,-0.069688,3.92083
-1,0.623,-0.0690645,3.92076
-1,0.622,-0.068442,3.92069
-1,0.621,-0.0678205,3.92062
-1,0.62,-0.0672,3.92055
-1,0.619,-0.0665805,3.92049
-1,0.618,-0.065962,3.92042
-1,0.617,-0.0653445,3.92036
-1,0.616,-0.064728,3.92029
-1,0.615,-0.0641125,3.92023
-1,0.614,-0.063498,3.92016
-1,0.613,-0.0628845,3.9201
-1,0.612,-0.062272,3.92004
-1,0.611,-0.0616605,3.91997
-1,0.61,-0.06105,3.91991
-1,0.609,-0.0604405,3.91985
-1,0.608,-0.059832,3.91979
-1,0.607,-0.0592245,3.91973
-1,0.606,-0.058618,3.91967
-1,0.605,-0.0580125,3.91962
-1,0.604,-0.057408,3.91956
-1,0.603,-0.0568045,3.9195
-1,0.602,-0.056202,3.91944
-1,0.601,-0.0556005,3.91939
-1,0.6,-0.055,3.91933
-1,0.599,-0.0544005,3.91928
-1,0.598,-0.053802,3.91922
-1,0.597,-0.0532045,3.91917
-1,0.596,-0.052608,3.91912
-1,0.595,-0.0520125,3.91907
-1,0.594,-0.051418,3.91901
-1,0.593,-0.0508245,3.91896
-1,0.592,-0.050232,3.91891
-1,0.591,-0.0496405,3.91886
-1,0.59,-0.04905,3.91881
-1,0.589,-0.0484605,3.91876
-1,0.588,-0.047872,3.91872
-1,0.587,-0.0472845,3.91867
-1,0.586,-0.046698,3.91862
-1,0.585,-0.0461125,3.91858
-1,0.584,-0.045528,3.91853
-1,0.583,-0.0449445,3.91848
-1,0.582,-0.044362,3.91844
-1,0.581,-0.0437805,3.9184
-1,0.58,-0.0432,3.91835
-1,0.579,-0.0426205,3.91831
-1,0.578,-0.042042,3.91827
-1,0.577,-0.0414645,3.91823
-1,0.576,-0.040888,3.91818
-1,0.575,-0.0403125,3.91814
-1,0.574,-0.039738,3.9181
-1,0.573,-0.0391645,3.91806
-1,0.572,-0.038592,3.91802
-1,0.571,-0.0380205,3.91799
-1,0.57,-0.03745,3.91795
-1,0.569,-0.0368805,3.91791
-1,0.568,-0.036312,3.91788
-1,0.567,-0.0357445,3.91784
-1,0.566,-0.035178,3.9178
-1,0.565,-0.0346125,3.91777
-1,0.564,-0.034048,3.91773
-1,0.563,-0.0334845,3.9177
-1,0.562,-0.032922,3.91767
-1,0.561,-0.0323605,3.91763
-1,0.56,-0.0318,3.9176
-1,0.559,-0.0312405,3.91757
-1,0.558,-0.030682,3.91754
-1,0.557,-0.0301245,3.91751
-1,0.556,-0.029568,3.91748
-1,0.555,-0.0290125,3.91745
-1,0.554,-0.028458,3.91742
-1,0.553,-0.0279045,3.91739
-1,0.552,-0.027352,3.91737
-1,0.551,-0.0268005,3.91734
-1,0.55,-0.02625,3.91731
-1,0.549,-0.0257005,3.91729
-1,0.548,-0.025152,3.91726
-1,0.547,-0.0246045,3.91724
-1,0.546,-0.024058,3.91721
-1,0.545,-0.0235125,3.91719
-1,0.544,-0.022968,3.91716
-1,0.543,-0.0224245,3.91714
-1,0.542,-0.021882,3.91712
-1,0.541,-0.0213405,3.9171
-1,0.54,-0.0208,3.91708
-1,0.539,-0.0202605,3.91706
-1,0.538,-0.019722,3.91704
-1,0.537,-0.0191845,3.91702
-1,0.536,-0.018648,3.917
-1,0.535,-0.0181125,3.91698
-1,0.534,-0.017578,3.91696
-1,0.533,-0.0170445,3.91694
-1,0.532,-0.016512,3.91693
-1,0.531,-0.0159805,3.91691
-1,0.53,-0.01545,3.9169
-1,0.529,-0.0149205,3.91688
-1,0.528,-0.014392,3.91687
-1,0.527,-0.0138645,3.91685
-1,0.526,-0.013338,3.91684
-1,0.525,-0.0128125,3.91683
-1,0.524,-0.012288,3.91681
-1,0.523,-0.0117645,3.9168
-1,0.522,-0.011242,3.91679
-1,0.521,-0.0107205,3.91678
-1,0.52,-0.0102,3.91677
-1,0.519,-0.0096805,3.91676
-1,0.518,-0.009162,3.91675
-1,0.517,-0.0086445,3.91674
-1,0.516,-0.008128,3.91673
-1,0.515,-0.0076125,3.91672
-1,0.514,-0.007098,3.91672
-1,0.513,-0.0065845,3.91671
-1,0.512,-0.006072,3.9167
-1,0.511,-0.0055605,3.9167
-1,0.51,-0.00505,3.91669
-1,0.509,-0.0045405,3.91669
-1,0.508,-0.004032,3.91668
-1,0.507,-0.0035245,3.91668
-1,0.506,-0.003018,3.91668
-1,0.505,-0.0025125,3.91667
-1,0.504,-0.002008,3.91667
-1,0.503,-0.0015045,3.91667
-1,0.502,-0.001002,3.91667
-1,0.501,-0.0005005,3.91667
-1,0.5,1.66533e-16,3.91667
-1,0.499,0.0004995,3.91667
-1,0.498,0.000998,3.91667
-1,0.497,0.0014955,3.91667
-1,0.496,0.001992,3.91667
-1,0.495,0.0024875,3.91667
-1,0.494,0.002982,3.91668
-1,0.493,0.0034755,3.91668
-1,0.492,0.003968,3.91668
-1,0.491,0.0044595,3.91669
-1,0.49,0.00495,3.91669
-1,0.489,0.0054395,3.9167
-1,0.488,0.005928,3.9167
-1,0.487,0.0064155,3.91671
-1,0.486,0.006902,3.91672
-1,0.485,0.0073875,3.91672
-1,0.484,0.007872,3.91673
-1,0.483,0.0083555,3.91674
-1,0.482,0.008838,3.91675
-1,0.481,0.0093195,3.91676
-1,0.48,0.0098,3.91677
-1,0.479,0.0102795,3.91678
-1,0.478,0.010758,3.91679
-1,0.477,0.0112355,3.9168
-1,0.476,0.011712,3.91681
-1,0.475,0.0121875,3.91682
-1,0.474,0.012662,3.91683
-1,0.473,0.0131355,3.91685
-1,0.472,0.013608,3.91686
-1,0.471,0.0140795,3.91687
-1,0.47,0.01455,3.91689
-1,0.469,0.0150195,3.9169
-1,0.468,0.015488,3.91692
-1,0.467,0.0159555,3.91693
-1,0.466,0.016422,3.91695
-1,0.465,0.0168875,3.91697
-1,0.464,0.017352,3.91698
-1,0.463,0.0178155,3.917
-1,0.462,0.018278,3.91702
-1,0.461,0.0187395,3.91704
-1,0.46,0.0192,3.91706
-1,0.459,0.0196595,3.91708
-1,0.458,0.020118,3.9171
-1,0.457,0.0205755,3.91712
-1,0.456,0.021032,3.91714
-1,0.455,0.0214875,3.91716
-1,0.454,0.021942,3.91718
-1,0.453,0.0223955,3.9172
-1,0.452,0.022848,3.91722
-1,0.451,0.0232995,3.91725
-1,0.45,0.02375,3.91727
-1,0.449,0.0241995,3.91729
-1,0.448,0.024648,3.91732
-1,0.447,0.0250955,3.91734
-1,0.446,0.025542,3.91737
-1,0.445,0.0259875,3.9174
-1,0.444,0.026432,3.91742
-1,0.443,0.0268755,3.91745
-1,0.442,0.027318,3.91748
-1,0.441,0.0277595,3.9175
-1,0.44,0.0282,3.91753
-1,0.439,0.0286395,3.91756
-1,0.438,0.029078,3.91759
-1,0.437,0.0295155,3.91762
-1,0.436,0.029952,3.91765
-1,0.435,0.0303875,3.91768
-1,0.434,0.030822,3.91771
-1,0.433,0.0312555,3.91774
-1,0.432,0.031688,3.91777
-1,0.431,0.0321195,3.9178
-1,0.43,0.03255,3.91783
-1,0.429,0.0329795,3.91787
-1,0.428,0.033408,3.9179
-1,0.427,0.0338355,3.91793
-1,0.426,0.034262,3.91797
-1,0.425,0.0346875,3.918
-1,0.424,0.035112,3.91804
-1,0.423,0.0355355,3.91807
-1,0.422,0.035958,3.91811
-1,0.421,0.0363795,3.91814
-1,0.42,0.0368,3.91818
-1,0.419,0.0372195,3.91822
-1,0.418,0.037638,3.91826
-1,0.417,0.0380555,3.91829
-1,0.416,0.038472,3.91833
-1,0.415,0.0388875,3.91837
-1,0.414,0.039302,3.91841
-1,0.413,0.0397155,3.91845
-1,0.412,0.040128,3.91849
-1,0.411,0.0405395,3.91853
-1,0.41,0.04095,3.91857
-1,0.409,0.0413595,3.91861
-1,0.408,0.041768,3.91865
-1,0.407,0.0421755,3.91869
-1,0.406,0.042582,3.91874
-1,0.405,0.0429875,3.91878
-1,0.404,0.043392,3.91882
-1,0.403,0.0437955,3.91887
-1,0.402,0.044198,3.91891
-1,0.401,0.0445995,3.91896
-1,0.4,0.045,3.919
-1,0.399,0.0453995,3.91905
-1,0.398,0.045798,3.91909
-1,0.397,0.0461955,3.91914
-1,0.396,0.046592,3.91918
-1,0.395,0.0469875,3.91923
-1,0.394,0.047382,3.91928
-1,0.393,0.0477755,3.91932
-1,0.392,0.048168,3.91937
-1,0.391,0.0485595,3.91942
-1,0.39,0.04895,3.91947
-1,0.389,0.0493395,3.91952
-1,0.388,0.049728,3.91957
-1,0.387,0.0501155,3.91962
-1,0.386,0.050502,3.91967
-1,0.385,0.0508875,3.91972
-1,0.384,0.051272,3.91977
-1,0.383,0.0516555,3.91982
-1,0.382,0.052038,3.91987
-1,0.381,0.0524195,3.91993
-1,0.38,0.0528,3.91998
-1,0.379,0.0531795,3.92003
-1,0.378,0.053558,3.92009
-1,0.377,0.0539355,3.92014
-1,0.376,0.054312,3.92019
-1,0.375,0.0546875,3.92025
-1,0.374,0.055062,3.9203
