u,x1,x2,x3
-1,0.547,-0.0246045,3.91624
-1,0.546,-0.024058,3.91621
-1,0.545,-0.0235125,3.91619
-1,0.544,-0.022968,3.91616
-1,0.543,-0.0224245,3.91614
-1,0.542,-0.021882,3.91612
-1,0.541,-0.0213405,3.9161
-1,0.54,-0.0208,3.91608
-1,0.539,-0.0202605,3.91606
-1,0.538,-0.019722,3.91604
-1,0.537,-0.0191845,3.91602
-1,0.536,-0.018648,3.916
-1,0.535,-0.0181125,3.91598
-1,0.534,-0.017578,3.91596
-1,0.533,-0.0170445,3.91594
-1,0.532,-0.016512,3.91593
-1,0.531,-0.0159805,3.91591
-1,0.53,-0.01545,3.9159
-1,0.529,-0.0149205,3.91588
-1,0.528,-0.014392,3.91587
-1,0.527,-0.0138645,3.91585
-1,0.526,-0.013338,3.91584
-1,0.525,-0.0128125,3.91583
-1,0.524,-0.012288,3.91581
-1,0.523,-0.0117645,3.9158
-1,0.522,-0.011242,3.91579
-1,0.521,-0.0107205,3.91578
-1,0.52,-0.0102,3.91577
-1,0.519,-0.0096805,3.91576
-1,0.518,-0.009162,3.91575
-1,0.517,-0.0086445,3.91574
-1,0.516,-0.008128,3.91573
-1,0.515,-0.0076125,3.91572
-1,0.514,-0.007098,3.91572
-1,0.513,-0.0065845,3.91571
-1,0.512,-0.006072,3.9157
-1,0.511,-0.0055605,3.9157
-1,0.51,-0.00505,3.91569
-1,0.509,-0.0045405,3.91569
-1,0.508,-0.004032,3.91568
-1,0.507,-0.0035245,3.91568
-1,0.506,-0.003018,3.91568
-1,0.505,-0.0025125,3.91567
-1,0.504,-0.002008,3.91567
-1,0.503,-0.0015045,3.91567
-1,0.502,-0.001002,3.91567
-1,0.501,-0.0005005,3.91567
-1,0.5,1.66533e-16,3.91567
-1,0.499,0.0004995,3.91567
-1,0.498,0.000998,3.91567
-1,0.497,0.0014955,3.91567
-1,0.496,0.001992,3.91567
-1,0.495,0.0024875,3.91567
-1,0.494,0.002982,3.91568
-1,0.493,0.0034755,3.91568
-1,0.492,0.003968,3.91568
-1,0.491,0.0044595,3.91569
-1,0.49,0.00495,3.91569
-1,0.489,0.0054395,3.9157
-1,0.488,0.005928,3.9157
-1,0.487,0.0064155,3.91571
-1,0.486,0.006902,3.91572
-1,0.485,0.0073875,3.91572
-1,0.484,0.007872,3.91573
-1,0.483,0.0083555,3.91574
-1,0.482,0.008838,3.91575
